###Feature ID	taxonomy	Confidence
0005c22ecb45018e45a633679e62394a	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__uncultured;D_6__metagenome	0.9278100823068972
001506c62823a71f1b884cb4b85adc7f	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales;D_4__Micromonosporaceae;D_5__Actinoplanes;D_6__uncultured bacterium	0.9933895974827998
00262e34ad8f0791622b8898bf552560	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7674418185838778
004a5cbccfb4828837b95a5111a0125a	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis;D_4__Unknown Family;D_5__Acidibacter;Ambiguous_taxa	0.9030841923117313
0059702890ea7135a74fa43b1020055e	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Mucilaginibacter	0.9996801774118511
005df18073c9bc3ec9df09955e335fc0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__uncultured;D_6__metagenome	0.8257797862505228
006d93dfb2e78c14637c860d94eb7cba	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.9998838796115433
006e20bee1e85bda3979a85580a89556	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Collimonas;Ambiguous_taxa	0.7608028021319174
00b51c67a5c16fbde193744a303a4d34	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Salinispira;D_6__metagenome	0.9995486700071615
00b9fb29e14844fc02d69d68c60313b3	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__Ohtaekwangia;D_6__uncultured bacterium	0.8150809966093936
00dcbb1646539b7422ec8f74cc6c450c	D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6	0.9999995021073422
00e0b987f9d498dd3e7c2d34af196086	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Luteolibacter;D_6__uncultured bacterium	0.9636445777551788
00e2ef475071ef302600a2cf20389aae	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Kribbella;Ambiguous_taxa	0.9912934959890735
00e36a479ee4bcf8bb44009e3ff70563	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Reyranellales;D_4__Reyranellaceae;D_5__Reyranella;Ambiguous_taxa	0.8178017554166571
